"year","population"
1788,859
1789,645
1790,2056
1791,2873
1792,3264
1793,3514
1794,3579
1795,3466
1796,4100
1797,4344
1798,4588
1799,5088
1800,5217
1801,5945
1802,7014
1803,7238
1804,7598
1805,7707
1806,7910
1807,8794
1808,10263
1809,11560
1810,11566
1811,11875
1812,12630
1813,13957
1814,14086
1815,15063
1816,17553
1817,21192
1818,25859
1819,31472
1820,33543
1821,35492
1822,37364
1823,40632
1824,48072
1825,52505
1826,53882
1827,56300
1828,58197
1829,61934
1830,70039
1831,75981
1832,83937
1833,98095
1834,105556
1835,113354
1836,125120
1837,134488
1838,151868
1839,169939
1840,190408
1841,220968
1842,240984
1843,250848
1844,264287
1845,279148
1846,293249
1847,308797
1848,332328
1849,373362
1850,405356
1851,437665
1852,513796
1853,600992
1854,694917
1855,793260
1856,876729
1857,970287
1858,1050828
1859,1097305
1860,1145585
1861,1168149
1862,1206918
1863,1259292
1864,1325183
1865,1390043
1866,1443955
1867,1483848
1868,1539552
1869,1592157
1870,1647756
1871,1700888
1872,1742847
1873,1794520
1874,1849392
1875,1898223
1876,1958679
1877,2031130
1878,2092164
1879,2162343
1880,2231531
1881,2306736
1882,2388082
1883,2505736
1884,2605725
1885,2694518
1886,2788050
1887,2881362
1888,2981677
1889,3062477
1890,3151355
1891,3240985
1892,3305753
1893,3361895
1894,3426760
1895,3491621
1896,3553098
1897,3617783
1898,3664715
1899,3715988
1900,3765339
1901,3824913
1902,3875318
1903,3916592
1904,3974150
1905,4032977
1906,4091485
1907,4161722
1908,4232278
1909,4323960
1910,4425083
1911,4573786
1912,4746589
1913,4893741
1914,4971778
1915,4969457
1916,4917949
1917,4982063
1918,5080912
1919,5303574
1920,5411297
1921,5510944
1922,5637286
1923,5755986
1924,5882002
1925,6003027
1926,6124020
1927,6251016
1928,6355770
1929,6436213
1930,6500751
1931,6552606
1932,6603785
1933,6656695
1934,6707247
1935,6755662
1936,6810413
1937,6871492
1938,6935909
1939,7004912
1940,7077586
1941,7143598
1942,7201096
1943,7269658
1944,7347024
1945,7430197
1946,7517981
1947,7637963
1948,7792465
1949,8045570
1950,8307481
1951,8527907
1952,8739569
1953,8902686
1954,9089936
1955,9311825
1956,9530871
1957,9744087
1958,9947358
1959,10160968
1960,10391920
1961,10642654
1962,10846059
1963,11055482
1964,11280429
1965,11505408
1966,11704843
1967,11912253
1968,12145582
1969,12407217
1970,12663469
1971,13198380
1972,13409288
1973,13614344
1974,13831978
1975,13968881
1976,14110107
1977,14281533
1978,14430830
1979,14602481
1980,14807370
1981,15054117
1982,15288891
1983,15483496
1984,15677282
1985,15900566
1986,16138769
1987,16394641
1988,16687082
1989,16936723
1990,17169768
1991,17387023
1992,17581284
1993,17759999
1994,17951481
1995,18196054
1996,18420320
1997,18609115
1998,18814276
1999,19038338
2000,19272644
2001,19533972
2002,19770963
2003,20011882
2004,20252132
2005,20544064
